,fate_ind,tree_ind,method,jaccard_dist,sum_of_min_symmetric_diff,precision,recall,fpr
0,2,2,carta-tree,0.42105263157894735,6,0.7333333333333333,0.7333333333333333,6.106497313141182e-05
1,2,333,carta-tree,0.5714285714285714,11,0.6,0.6,9.159745969711773e-05
2,2,664,carta-tree,0.42105263157894735,6,0.7333333333333333,0.7333333333333333,6.106497313141182e-05
3,2,995,carta-tree,0.6363636363636364,13,0.5333333333333333,0.5333333333333333,0.00010686370297997069
4,2,1326,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
5,2,1657,carta-tree,0.6363636363636364,13,0.5333333333333333,0.5333333333333333,0.00010686370297997069
6,2,1988,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
7,2,2319,carta-tree,0.6363636363636364,13,0.5333333333333333,0.5333333333333333,0.00010686370297997069
8,2,2650,carta-tree,0.23529411764705888,4,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
9,2,2981,carta-tree,0.6363636363636364,13,0.5333333333333333,0.5333333333333333,0.00010686370297997069
10,3,3,carta-tree,0.23529411764705888,3,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
11,3,334,carta-tree,0.5714285714285714,12,0.6,0.6,9.159745969711773e-05
12,3,665,carta-tree,0.33333333333333337,7,0.8,0.8,4.5798729848558865e-05
13,3,996,carta-tree,0.6956521739130435,14,0.4666666666666667,0.4666666666666667,0.00012212994626282364
14,3,1327,carta-tree,0.23529411764705888,6,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
15,3,1658,carta-tree,0.6190476190476191,17,0.5714285714285714,0.5333333333333333,9.159745969711773e-05
16,3,1989,carta-tree,0.23529411764705888,3,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
17,3,2320,carta-tree,0.5714285714285714,12,0.6,0.6,9.159745969711773e-05
18,3,2651,carta-tree,0.125,4,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
19,3,2982,carta-tree,0.6190476190476191,17,0.5714285714285714,0.5333333333333333,9.159745969711773e-05
20,4,4,carta-tree,0.0,0,1.0,1.0,0.0
21,4,335,carta-tree,0.33333333333333337,6,0.8,0.8,4.5798729848558865e-05
22,4,666,carta-tree,0.0,0,1.0,1.0,0.0
23,4,997,carta-tree,0.33333333333333337,4,0.8,0.8,4.5798729848558865e-05
24,4,1328,carta-tree,0.23529411764705888,2,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
25,4,1659,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
26,4,1990,carta-tree,0.125,1,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
27,4,2321,carta-tree,0.42105263157894735,6,0.7333333333333333,0.7333333333333333,6.106497313141182e-05
28,4,2652,carta-tree,0.125,1,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
29,4,2983,carta-tree,0.33333333333333337,6,0.8,0.8,4.5798729848558865e-05
30,5,5,carta-tree,0.0,0,1.0,1.0,0.0
31,5,336,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
32,5,667,carta-tree,0.0,0,1.0,1.0,0.0
33,5,998,carta-tree,0.42105263157894735,7,0.7333333333333333,0.7333333333333333,6.106497313141182e-05
34,5,1329,carta-tree,0.0,0,1.0,1.0,0.0
35,5,1660,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
36,5,1991,carta-tree,0.125,1,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
37,5,2322,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
38,5,2653,carta-tree,0.0,0,1.0,1.0,0.0
39,5,2984,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
40,6,6,carta-tree,0.125,1,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
41,6,337,carta-tree,0.5714285714285714,12,0.6,0.6,9.159745969711773e-05
42,6,668,carta-tree,0.0,0,1.0,1.0,0.0
43,6,999,carta-tree,0.5,11,0.6666666666666666,0.6666666666666666,7.633121641426478e-05
44,6,1330,carta-tree,0.125,1,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
45,6,1661,carta-tree,0.5,8,0.6666666666666666,0.6666666666666666,7.633121641426478e-05
46,6,1992,carta-tree,0.0,0,1.0,1.0,0.0
47,6,2323,carta-tree,0.5,11,0.6666666666666666,0.6666666666666666,7.633121641426478e-05
48,6,2654,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
49,6,2985,carta-tree,0.5,11,0.6666666666666666,0.6666666666666666,7.633121641426478e-05
50,7,7,carta-tree,0.0,0,1.0,1.0,0.0
51,7,338,carta-tree,0.6363636363636364,18,0.5333333333333333,0.5333333333333333,0.00010686370297997069
52,7,669,carta-tree,0.0,0,1.0,1.0,0.0
53,7,1000,carta-tree,0.5714285714285714,19,0.6,0.6,9.159745969711773e-05
54,7,1331,carta-tree,0.0,0,1.0,1.0,0.0
55,7,1662,carta-tree,0.5,10,0.6666666666666666,0.6666666666666666,7.633121641426478e-05
56,7,1993,carta-tree,0.0,0,1.0,1.0,0.0
57,7,2324,carta-tree,0.5,13,0.6666666666666666,0.6666666666666666,7.633121641426478e-05
58,7,2655,carta-tree,0.0,0,1.0,1.0,0.0
59,7,2986,carta-tree,0.55,16,0.6428571428571429,0.6,7.633121641426478e-05
60,8,8,carta-tree,0.33333333333333337,5,0.8,0.8,4.5798729848558865e-05
61,8,339,carta-tree,0.5714285714285714,11,0.6,0.6,9.159745969711773e-05
62,8,670,carta-tree,0.23529411764705888,4,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
63,8,1001,carta-tree,0.6363636363636364,15,0.5333333333333333,0.5333333333333333,0.00010686370297997069
64,8,1332,carta-tree,0.0,0,1.0,1.0,0.0
65,8,1663,carta-tree,0.75,19,0.4,0.4,0.0001373961895456766
66,8,1994,carta-tree,0.23529411764705888,3,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
67,8,2325,carta-tree,0.6363636363636364,15,0.5333333333333333,0.5333333333333333,0.00010686370297997069
68,8,2656,carta-tree,0.125,2,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
69,8,2987,carta-tree,0.6363636363636364,15,0.5333333333333333,0.5333333333333333,0.00010686370297997069
70,9,9,carta-tree,0.23529411764705888,3,0.8666666666666667,0.8666666666666667,3.053248656570591e-05
71,9,340,carta-tree,0.6363636363636364,12,0.5333333333333333,0.5333333333333333,0.00010686370297997069
72,9,671,carta-tree,0.125,2,0.9333333333333333,0.9333333333333333,1.5266243282852955e-05
