,type,# terminal,# cells,fm_ind,t_ind,k,time
0,graph,6,50,0002,0,2,59.91217350959778
1,graph,6,50,0002,0,3,28.9664626121521
2,graph,6,50,0002,0,4,30.75714421272278
3,graph,6,50,0002,0,5,32.71365141868591
4,graph,6,50,0002,0,6,33.85936713218689
5,graph,6,50,0002,0,7,35.65024733543396
6,graph,6,50,0002,0,8,31.97217869758606
7,graph,6,50,0002,1,2,67.69802689552307
8,graph,6,50,0002,1,3,34.796793699264526
9,graph,6,50,0002,1,4,36.76497626304627
10,graph,6,50,0002,1,5,35.379507064819336
11,graph,6,50,0002,1,6,32.80130791664124
12,graph,6,50,0002,1,7,32.12133073806763
13,graph,6,50,0002,1,8,32.65165376663209
14,graph,6,50,0002,2,2,69.15194773674011
15,graph,6,50,0002,2,3,34.60955858230591
16,graph,6,50,0002,2,4,38.71502494812012
17,graph,6,50,0002,2,5,36.81726360321045
18,graph,6,50,0002,2,6,34.35126328468323
19,graph,6,50,0002,2,7,33.942960023880005
20,graph,6,50,0002,2,8,33.18379998207092
21,graph,6,50,0002,3,2,70.45515823364258
22,graph,6,50,0002,3,3,35.46830940246582
23,graph,6,50,0002,3,4,39.66396403312683
24,graph,6,50,0002,3,5,40.67753791809082
25,graph,6,50,0002,3,6,39.518176555633545
26,graph,6,50,0002,3,7,37.20226526260376
27,graph,6,50,0002,3,8,36.354163646698
28,graph,6,50,0002,4,2,69.78825449943542
29,graph,6,50,0002,4,3,28.68104386329651
30,graph,6,50,0002,4,4,32.90908432006836
31,graph,6,50,0002,4,5,31.385775327682495
32,graph,6,50,0002,4,6,34.291545152664185
33,graph,6,50,0002,4,7,32.715630769729614
34,graph,6,50,0002,4,8,32.563111543655396
35,graph,6,50,0003,0,2,85.45058298110962
36,graph,6,50,0003,0,3,37.69165635108948
37,graph,6,50,0003,0,4,35.41205978393555
38,graph,6,50,0003,0,5,33.51603722572327
39,graph,6,50,0003,0,6,32.248066425323486
40,graph,6,50,0003,0,7,30.661997318267822
41,graph,6,50,0003,0,8,30.34134292602539
42,graph,6,50,0003,1,2,56.80247521400452
43,graph,6,50,0003,1,3,23.66686463356018
44,graph,6,50,0003,1,4,23.197598218917847
45,graph,6,50,0003,1,5,24.893137454986572
46,graph,6,50,0003,1,6,21.64601993560791
47,graph,6,50,0003,1,7,20.051155567169186
48,graph,6,50,0003,1,8,19.255486965179443
49,graph,6,50,0003,2,2,72.59490489959717
50,graph,6,50,0003,2,3,44.5286021232605
51,graph,6,50,0003,2,4,46.059028625488274
52,graph,6,50,0003,2,5,40.29865527153015
53,graph,6,50,0003,2,6,39.79729676246643
54,graph,6,50,0003,2,7,35.09728121757507
55,graph,6,50,0003,2,8,34.89094424247742
56,graph,6,50,0003,3,2,81.37153387069702
57,graph,6,50,0003,3,3,36.684343099594116
58,graph,6,50,0003,3,4,35.94993019104004
59,graph,6,50,0003,3,5,39.90546369552612
60,graph,6,50,0003,3,6,37.06015872955322
61,graph,6,50,0003,3,7,40.21506476402283
62,graph,6,50,0003,3,8,15.65285348892212
63,graph,6,50,0003,4,2,69.57452249526978
64,graph,6,50,0003,4,3,32.74865198135376
65,graph,6,50,0003,4,4,27.880398750305176
66,graph,6,50,0003,4,5,26.7581627368927
67,graph,6,50,0003,4,6,27.404236793518066
68,graph,6,50,0003,4,7,25.307672262191772
69,graph,6,50,0003,4,8,24.374767065048218
70,graph,6,50,0004,0,2,54.48193645477295
71,graph,6,50,0004,0,3,27.999492406845093
72,graph,6,50,0004,0,4,26.929078817367557
73,graph,6,50,0004,0,5,25.278851985931396
74,graph,6,50,0004,0,6,24.14721155166626
75,graph,6,50,0004,0,7,24.1234872341156
76,graph,6,50,0004,0,8,23.627779483795166
77,graph,6,50,0004,1,2,76.83863091468811
78,graph,6,50,0004,1,3,38.387736797332764
79,graph,6,50,0004,1,4,40.94351291656494
80,graph,6,50,0004,1,5,39.4007933139801
81,graph,6,50,0004,1,6,37.98460531234741
82,graph,6,50,0004,1,7,38.52137589454651
83,graph,6,50,0004,1,8,37.771997928619385
84,graph,6,50,0004,2,2,83.43339586257935
85,graph,6,50,0004,2,3,42.19825100898743
86,graph,6,50,0004,2,4,43.388880491256714
87,graph,6,50,0004,2,5,43.02542328834534
88,graph,6,50,0004,2,6,40.8940327167511
89,graph,6,50,0004,2,7,38.365074634552
90,graph,6,50,0004,2,8,35.69713807106018
91,graph,6,50,0004,3,2,69.96408033370972
92,graph,6,50,0004,3,3,33.02034616470337
93,graph,6,50,0004,3,4,29.975746870040894
94,graph,6,50,0004,3,5,29.768733024597168
95,graph,6,50,0004,3,6,27.975127696990967
96,graph,6,50,0004,3,7,26.817781925201416
97,graph,6,50,0004,3,8,26.81155800819397
98,graph,6,50,0004,4,2,64.03584456443787
99,graph,6,50,0004,4,3,30.76572012901306
100,graph,6,50,0004,4,4,30.428914785385132
101,graph,6,50,0004,4,5,28.96035647392273
102,graph,6,50,0004,4,6,26.718469619750977
103,graph,6,50,0004,4,7,29.4227192401886
104,graph,6,50,0004,4,8,27.01359534263611
105,graph,6,50,0005,0,2,68.74849891662598
106,graph,6,50,0005,0,3,35.127074003219604
107,graph,6,50,0005,0,4,34.19003486633301
108,graph,6,50,0005,0,5,34.84684348106384
109,graph,6,50,0005,0,6,34.613274335861206
110,graph,6,50,0005,0,7,35.875739336013794
111,graph,6,50,0005,0,8,34.95477294921875
112,graph,6,50,0005,1,2,79.24740958213806
113,graph,6,50,0005,1,3,43.260929584503174
114,graph,6,50,0005,1,4,38.94596576690674
115,graph,6,50,0005,1,5,38.89919376373291
116,graph,6,50,0005,1,6,35.915234327316284
117,graph,6,50,0005,1,7,34.39348888397217
118,graph,6,50,0005,1,8,31.52830457687378
119,graph,6,50,0005,2,2,87.99642753601074
120,graph,6,50,0005,2,3,44.10807967185974
121,graph,6,50,0005,2,4,42.97762846946716
122,graph,6,50,0005,2,5,38.649447202682495
123,graph,6,50,0005,2,6,35.73040962219238
124,graph,6,50,0005,2,7,33.45810079574585
125,graph,6,50,0005,2,8,31.924199104309082
126,graph,6,50,0005,3,2,74.41602230072021
127,graph,6,50,0005,3,3,41.065685510635376
128,graph,6,50,0005,3,4,38.38758993148804
129,graph,6,50,0005,3,5,36.75954723358154
130,graph,6,50,0005,3,6,36.017903089523315
131,graph,6,50,0005,3,7,31.347100496292114
132,graph,6,50,0005,3,8,31.17314052581787
133,graph,6,50,0005,4,2,79.99836492538452
134,graph,6,50,0005,4,3,40.85633826255798
135,graph,6,50,0005,4,4,39.05494546890259
136,graph,6,50,0005,4,5,40.719481468200684
137,graph,6,50,0005,4,6,41.28354597091675
138,graph,6,50,0005,4,7,17.976348638534546
139,graph,6,50,0005,4,8,17.96727991104126
140,graph,6,50,0006,0,2,54.732459783554084
141,graph,6,50,0006,0,3,24.81333899497986
142,graph,6,50,0006,0,4,23.960948705673218
143,graph,6,50,0006,0,5,23.76032781600952
144,graph,6,50,0006,0,6,22.993911027908325
145,graph,6,50,0006,0,7,22.87086296081543
146,graph,6,50,0006,0,8,21.917083501815796
147,graph,6,50,0006,1,2,83.78371953964233
148,graph,6,50,0006,1,3,35.37406301498413
149,graph,6,50,0006,1,4,34.519770860672
150,graph,6,50,0006,1,5,32.21367383003235
151,graph,6,50,0006,1,6,31.1919469833374
152,graph,6,50,0006,1,7,30.47581553459167
153,graph,6,50,0006,1,8,30.615823745727536
154,graph,6,50,0006,2,2,73.42917513847351
155,graph,6,50,0006,2,3,42.047576904296875
156,graph,6,50,0006,2,4,39.14615511894226
157,graph,6,50,0006,2,5,35.961793661117554
158,graph,6,50,0006,2,6,33.596205711364746
159,graph,6,50,0006,2,7,33.40050935745239
160,graph,6,50,0006,2,8,33.71631693840027
161,graph,6,50,0006,3,2,71.89108347892761
162,graph,6,50,0006,3,3,34.803343534469604
163,graph,6,50,0006,3,4,35.71502232551575
164,graph,6,50,0006,3,5,37.931928634643555
165,graph,6,50,0006,3,6,38.000816822052
166,graph,6,50,0006,3,7,35.92667269706726
167,graph,6,50,0006,3,8,17.284306049346924
168,graph,6,50,0006,4,2,65.40583896636963
169,graph,6,50,0006,4,3,31.24980902671814
170,graph,6,50,0006,4,4,28.91075325012207
171,graph,6,50,0006,4,5,27.915087938308716
172,graph,6,50,0006,4,6,27.728370666503906
173,graph,6,50,0006,4,7,26.443766832351685
174,graph,6,50,0006,4,8,25.871867656707764
175,graph,6,50,0007,0,2,59.360644817352295
176,graph,6,50,0007,0,3,25.73831081390381
177,graph,6,50,0007,0,4,25.076532125473022
178,graph,6,50,0007,0,5,25.138205766677856
179,graph,6,50,0007,0,6,23.926081657409668
180,graph,6,50,0007,0,7,22.688591718673706
181,graph,6,50,0007,0,8,14.93970775604248
182,graph,6,50,0007,1,2,76.64402937889099
183,graph,6,50,0007,1,3,35.37899160385132
184,graph,6,50,0007,1,4,34.10827851295471
185,graph,6,50,0007,1,5,31.525426864624023
186,graph,6,50,0007,1,6,32.38785433769226
187,graph,6,50,0007,1,7,31.541775703430176
188,graph,6,50,0007,1,8,31.90561318397522
189,graph,6,50,0007,2,2,81.17877149581909
190,graph,6,50,0007,2,3,37.37786316871643
191,graph,6,50,0007,2,4,32.274269819259644
192,graph,6,50,0007,2,5,34.064541816711426
193,graph,6,50,0007,2,6,32.4098756313324
194,graph,6,50,0007,2,7,33.73174428939819
195,graph,6,50,0007,2,8,34.34623575210571
196,graph,6,50,0007,3,2,77.4476466178894
197,graph,6,50,0007,3,3,41.42403984069824
198,graph,6,50,0007,3,4,37.6845920085907
199,graph,6,50,0007,3,5,44.3608980178833
200,graph,6,50,0007,3,6,36.534809589385986
201,graph,6,50,0007,3,7,35.1923611164093
202,graph,6,50,0007,3,8,34.56663799285889
203,graph,6,50,0007,4,2,75.6021339893341
204,graph,6,50,0007,4,3,42.06580471992493
205,graph,6,50,0007,4,4,43.33944392204285
206,graph,6,50,0007,4,5,39.307785987854004
207,graph,6,50,0007,4,6,37.4412260055542
208,graph,6,50,0007,4,7,16.874565839767456
209,graph,6,50,0007,4,8,16.917372226715088
210,graph,6,50,0008,0,2,87.72765302658081
211,graph,6,50,0008,0,3,46.41727948188782
212,graph,6,50,0008,0,4,40.241039752960205
213,graph,6,50,0008,0,5,43.390465259552
214,graph,6,50,0008,0,6,47.18062376976013
215,graph,6,50,0008,0,7,51.60112762451172
216,graph,6,50,0008,0,8,48.344576358795166
217,graph,6,50,0008,1,2,85.15260887145996
218,graph,6,50,0008,1,3,40.84899640083313
219,graph,6,50,0008,1,4,45.23098564147949
220,graph,6,50,0008,1,5,37.66619062423706
221,graph,6,50,0008,1,6,36.21953630447388
222,graph,6,50,0008,1,7,38.262667417526245
223,graph,6,50,0008,1,8,34.43309664726257
224,graph,6,50,0008,2,2,75.60730004310608
225,graph,6,50,0008,2,3,38.025636196136475
226,graph,6,50,0008,2,4,39.08533191680908
227,graph,6,50,0008,2,5,37.35891675949097
228,graph,6,50,0008,2,6,39.36833739280701
229,graph,6,50,0008,2,7,35.667121171951294
230,graph,6,50,0008,2,8,34.45057535171509
231,graph,6,50,0008,3,2,65.34305024147034
232,graph,6,50,0008,3,3,29.457119941711426
233,graph,6,50,0008,3,4,29.06693768501282
234,graph,6,50,0008,3,5,30.022912025451664
235,graph,6,50,0008,3,6,30.769623041152954
236,graph,6,50,0008,3,7,28.42610001564026
237,graph,6,50,0008,3,8,27.90487551689148
238,graph,6,50,0008,4,2,91.24991512298584
239,graph,6,50,0008,4,3,42.04310584068298
240,graph,6,50,0008,4,4,39.188695669174194
241,graph,6,50,0008,4,5,34.74499845504761
242,graph,6,50,0008,4,6,33.596808671951294
