src,dst,src_progenitor,dst_progenitor
clade_167,c23852,"(-4,)","(-4,)"
clade_469,clade_470,"(-7, -4)","(-7, -4)"
clade_370,c21085,"(-15,)","(-15,)"
clade_1381,clade_1382,"(-4,)","(-4,)"
clade_16,clade_22,"(-4,)","(-4,)"
clade_1322,c19535,"(-13,)","(-13,)"
clade_396,clade_398,"(-4,)","(-4,)"
clade_246,clade_259,"(-7, -4)","(-7,)"
clade_1387,c21983,"(-4,)","(-4,)"
clade_1473,clade_1474,"(-16, -15, -13, -7, -4, -3)","(-4,)"
clade_1008,clade_1021,"(-3,)","(-3,)"
clade_1078,clade_1079,"(-15,)","(-15,)"
clade_442,clade_443,"(-7,)","(-7,)"
clade_1071,c23654,"(-15,)","(-15,)"
clade_137,c23443,"(-15,)","(-15,)"
clade_950,clade_951,"(-4,)","(-4,)"
clade_380,c16611,"(-3,)","(-3,)"
clade_381,c26757,"(-3,)","(-3,)"
clade_144,c20718,"(-15,)","(-15,)"
clade_684,clade_685,"(-15,)","(-15,)"
clade_1352,clade_1353,"(-15,)","(-15,)"
clade_846,clade_847,"(-13,)","(-13,)"
clade_101,clade_102,"(-15,)","(-15,)"
clade_1244,clade_1249,"(-16,)","(-16,)"
clade_587,c26533,"(-4,)","(-4,)"
clade_1254,clade_1255,"(-16, -15, -13, -7, -4, -3)","(-16,)"
clade_229,c19300,"(-7,)","(-7,)"
clade_755,c23688,"(-13,)","(-13,)"
clade_885,clade_889,"(-4,)","(-4,)"
clade_106,clade_107,"(-16,)","(-16,)"
clade_1449,clade_1451,"(-4,)","(-4,)"
clade_787,clade_788,"(-4,)","(-4,)"
clade_1173,c24205,"(-3,)","(-3,)"
clade_1222,c20712,"(-4,)","(-4,)"
clade_269,c25395,"(-7,)","(-7,)"
clade_1021,clade_1022,"(-3,)","(-3,)"
clade_1149,c14408,"(-3,)","(-3,)"
clade_1581,c25974,"(-16,)","(-16,)"
clade_110,clade_117,"(-16, -15, -13, -7, -4, -3)","(-16,)"
clade_1461,clade_1462,"(-4,)","(-4,)"
clade_361,c11217,"(-3,)","(-3,)"
clade_1590,c26647,"(-4,)","(-4,)"
clade_970,c23586,"(-15,)","(-15,)"
clade_689,c21226,"(-15,)","(-15,)"
clade_1005,clade_1006,"(-16, -15, -3)","(-15,)"
clade_212,clade_213,"(-7, -4)","(-7, -4)"
clade_1397,c26117,"(-16,)","(-16,)"
clade_1375,c27086,"(-4,)","(-4,)"
clade_1069,c22978,"(-3,)","(-3,)"
clade_1166,c22087,"(-3,)","(-3,)"
clade_933,clade_935,"(-13,)","(-13,)"
clade_585,c25222,"(-4,)","(-4,)"
clade_43,c21901,"(-16, -15, -3)","(-16,)"
clade_1126,c21100,"(-15,)","(-15,)"
clade_1354,c13386,"(-15,)","(-15,)"
clade_679,c17332,"(-15,)","(-15,)"
clade_866,c13970,"(-15,)","(-15,)"
clade_389,c18287,"(-7,)","(-7,)"
clade_909,c22630,"(-4,)","(-4,)"
clade_1452,clade_1461,"(-4,)","(-4,)"
clade_166,c20659,"(-7,)","(-7,)"
clade_127,c16563,"(-16,)","(-16,)"
clade_1162,c26161,"(-3,)","(-3,)"
clade_1500,clade_1502,"(-4,)","(-4,)"
clade_935,c24604,"(-13,)","(-13,)"
clade_1201,clade_1202,"(-15,)","(-15,)"
clade_1350,clade_1351,"(-16, -15, -3)","(-16, -15, -3)"
clade_208,clade_209,"(-7,)","(-7,)"
clade_528,c20735,"(-4,)","(-4,)"
clade_260,clade_261,"(-7,)","(-7,)"
clade_1184,clade_1185,"(-16, -15, -3)","(-3,)"
clade_32,clade_33,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -13, -7, -4, -3)"
clade_1262,c11721,"(-13,)","(-13,)"
clade_904,c14966,"(-4,)","(-4,)"
clade_1372,clade_1373,"(-4,)","(-4,)"
clade_948,clade_949,"(-4,)","(-4,)"
clade_81,clade_82,"(-15,)","(-15,)"
clade_1557,c22341,"(-15,)","(-15,)"
clade_473,clade_474,"(-4,)","(-4,)"
clade_1485,c19531,"(-16,)","(-16,)"
clade_715,clade_716,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -13, -7, -4, -3)"
clade_684,c8242,"(-15,)","(-15,)"
clade_1189,clade_1191,"(-3,)","(-3,)"
clade_147,c13488,"(-15,)","(-15,)"
clade_355,c27146,"(-15,)","(-15,)"
clade_663,c26711,"(-4,)","(-4,)"
clade_1288,c24395,"(-4,)","(-4,)"
clade_775,clade_776,"(-4,)","(-4,)"
clade_865,c24176,"(-13,)","(-13,)"
clade_711,c25417,"(-15,)","(-15,)"
clade_35,clade_40,"(-16, -15, -13, -7, -4, -3)","(-15,)"
clade_285,c19077,"(-7,)","(-7,)"
clade_158,clade_159,"(-7, -4)","(-7, -4)"
clade_383,c15655,"(-15,)","(-15,)"
clade_1350,clade_1356,"(-16, -15, -3)","(-15,)"
clade_531,clade_538,"(-13,)","(-13,)"
clade_332,clade_333,"(-16, -15, -3)","(-16, -15, -3)"
clade_242,clade_243,"(-7,)","(-7,)"
clade_1589,c13651,"(-4,)","(-4,)"
clade_529,c13735,"(-16,)","(-16,)"
clade_575,c15016,"(-15,)","(-15,)"
clade_120,clade_122,"(-4,)","(-4,)"
clade_1098,clade_1100,"(-3,)","(-3,)"
clade_325,c21886,"(-15,)","(-15,)"
clade_674,c22483,"(-15,)","(-15,)"
clade_544,clade_545,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -13, -7, -4, -3)"
clade_1259,clade_1260,"(-13,)","(-13,)"
clade_564,clade_578,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -3)"
clade_1104,clade_1105,"(-16, -15, -3)","(-15,)"
clade_460,c4417,"(-7,)","(-7,)"
clade_337,clade_338,"(-3,)","(-3,)"
clade_1086,c15097,"(-15,)","(-15,)"
clade_949,c20697,"(-4,)","(-4,)"
clade_1572,clade_1576,"(-15,)","(-15,)"
clade_1344,c14355,"(-13,)","(-13,)"
clade_1163,clade_1164,"(-3,)","(-3,)"
clade_1426,clade_1429,"(-15,)","(-15,)"
clade_1318,c26082,"(-13,)","(-13,)"
clade_191,clade_192,"(-7,)","(-7,)"
clade_1019,c23178,"(-3,)","(-3,)"
clade_645,c24808,"(-15,)","(-15,)"
clade_56,clade_58,"(-15,)","(-15,)"
clade_614,c12955,"(-15,)","(-15,)"
clade_673,clade_674,"(-15,)","(-15,)"
clade_1376,clade_1377,"(-4,)","(-4,)"
clade_67,clade_68,"(-15,)","(-15,)"
clade_525,c17593,"(-4,)","(-4,)"
clade_743,c24349,"(-16,)","(-16,)"
clade_581,clade_582,"(-16, -15, -13, -7, -4, -3)","(-16,)"
clade_1139,c18700,"(-3,)","(-3,)"
clade_604,clade_650,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -13, -7, -4, -3)"
clade_906,clade_907,"(-4,)","(-4,)"
clade_249,clade_250,"(-7,)","(-7,)"
clade_1090,clade_1091,"(-15,)","(-15,)"
clade_321,c21802,"(-15,)","(-15,)"
clade_1212,clade_1252,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -13, -7, -4, -3)"
clade_1016,clade_1017,"(-3,)","(-3,)"
clade_10,clade_12,"(-4,)","(-4,)"
clade_839,clade_840,"(-13,)","(-13,)"
clade_1551,c2109,"(-15,)","(-15,)"
clade_317,c26325,"(-15,)","(-15,)"
clade_366,c25167,"(-3,)","(-3,)"
clade_1509,c22868,"(-4,)","(-4,)"
clade_425,c25500,"(-4,)","(-4,)"
clade_1494,c25006,"(-16,)","(-16,)"
clade_240,clade_241,"(-7,)","(-7,)"
clade_318,clade_319,"(-15,)","(-15,)"
clade_552,c22805,"(-15,)","(-15,)"
clade_1418,clade_1419,"(-15,)","(-15,)"
clade_1419,c23146,"(-15,)","(-15,)"
clade_139,c15775,"(-15,)","(-15,)"
clade_615,c19755,"(-15,)","(-15,)"
clade_769,clade_770,"(-4,)","(-4,)"
clade_556,clade_559,"(-16,)","(-16,)"
clade_1006,c25058,"(-15,)","(-15,)"
clade_1128,clade_1132,"(-15,)","(-15,)"
clade_640,clade_648,"(-16, -15, -13, -7, -4, -3)","(-13,)"
clade_18,c15128,"(-4,)","(-4,)"
clade_1009,clade_1014,"(-3,)","(-3,)"
clade_576,clade_577,"(-16,)","(-16,)"
clade_1383,clade_1384,"(-4,)","(-4,)"
clade_154,clade_155,"(-16, -15, -3)","(-3,)"
clade_569,c23652,"(-13,)","(-13,)"
clade_1371,clade_1372,"(-4,)","(-4,)"
clade_70,c21944,"(-13,)","(-13,)"
clade_1376,c19605,"(-4,)","(-4,)"
clade_51,c17281,"(-16,)","(-16,)"
clade_1329,c22545,"(-13,)","(-13,)"
clade_717,clade_718,"(-16, -15, -13, -7, -4, -3)","(-16, -15, -13, -7, -4, -3)"
clade_1085,c20108,"(-15,)","(-15,)"
clade_1018,c12808,"(-3,)","(-3,)"
clade_1074,clade_1082,"(-16, -15, -3)","(-15,)"
clade_139,c21896,"(-15,)","(-15,)"
clade_1152,c25339,"(-15,)","(-15,)"
clade_1562,c19376,"(-13,)","(-13,)"
clade_1323,clade_1324,"(-16, -15, -13, -7, -4, -3)","(-13,)"
clade_1177,clade_1178,"(-16, -15, -3)","(-16, -15, -3)"
clade_1459,c20901,"(-4,)","(-4,)"
clade_1529,c25200,"(-13,)","(-13,)"
clade_600,clade_601,"(-16,)","(-16,)"
clade_1407,clade_1408,"(-15,)","(-15,)"
clade_821,c24684,"(-16,)","(-16,)"
clade_496,clade_497,"(-15,)","(-15,)"
clade_526,clade_528,"(-4,)","(-4,)"
clade_1160,c15844,"(-3,)","(-3,)"
clade_1577,c26712,"(-15,)","(-15,)"
clade_1114,c10710,"(-15,)","(-15,)"
clade_429,c22886,"(-7,)","(-7,)"
clade_775,clade_779,"(-4,)","(-4,)"
clade_1562,clade_1563,"(-13,)","(-13,)"
clade_1368,c24728,"(-4,)","(-4,)"
clade_785,clade_786,"(-4,)","(-4,)"
clade_1332,clade_1334,"(-16,)","(-16,)"
clade_1434,clade_1438,"(-4,)","(-4,)"
