,nprogs,prob,iter,jac
0,5,0.2,0,0.33333333333333337
1,5,0.2,1,0.33333333333333337
2,5,0.2,2,0.5714285714285714
3,5,0.2,3,0.5714285714285714
4,5,0.2,4,0.5714285714285714
5,5,0.3,0,0.5714285714285714
6,5,0.3,1,0.5714285714285714
7,5,0.3,2,0.5714285714285714
8,5,0.3,3,0.5714285714285714
9,5,0.3,4,0.33333333333333337
10,5,0.4,0,0.5714285714285714
11,5,0.4,1,0.33333333333333337
12,5,0.4,2,0.0
13,5,0.4,3,0.5714285714285714
14,5,0.4,4,0.33333333333333337
15,5,0.5,0,0.33333333333333337
16,5,0.5,1,0.0
17,5,0.5,2,0.5714285714285714
18,5,0.5,3,0.0
19,5,0.5,4,0.33333333333333337
20,5,0.6,0,0.5714285714285714
21,5,0.6,1,0.5714285714285714
22,5,0.6,2,0.0
23,5,0.6,3,0.5714285714285714
24,5,0.6,4,0.33333333333333337
25,5,0.7,0,0.0
26,5,0.7,1,0.5714285714285714
27,5,0.7,2,0.0
28,5,0.7,3,0.0
29,5,0.7,4,0.0
30,5,0.8,0,0.0
31,5,0.8,1,0.0
32,5,0.8,2,0.0
33,5,0.8,3,0.0
34,5,0.8,4,0.5714285714285714
35,5,0.9,0,0.0
36,5,0.9,1,0.0
37,5,0.9,2,0.0
38,5,0.9,3,0.0
39,5,0.9,4,0.0
40,6,0.2,0,0.2857142857142857
41,6,0.2,1,0.2857142857142857
42,6,0.2,2,0.5
43,6,0.2,3,0.5
44,6,0.2,4,0.5
45,6,0.3,0,0.5
46,6,0.3,1,0.5
47,6,0.3,2,0.2857142857142857
48,6,0.3,3,0.5
49,6,0.3,4,0.2857142857142857
50,6,0.4,0,0.5
51,6,0.4,1,0.2857142857142857
52,6,0.4,2,0.0
53,6,0.4,3,0.5
54,6,0.4,4,0.6666666666666667
55,6,0.5,0,0.2857142857142857
56,6,0.5,1,0.0
57,6,0.5,2,0.2857142857142857
58,6,0.5,3,0.0
59,6,0.5,4,0.2857142857142857
60,6,0.6,0,0.5
61,6,0.6,1,0.5
62,6,0.6,2,0.0
63,6,0.6,3,0.5
64,6,0.6,4,0.2857142857142857
65,6,0.7,0,0.0
66,6,0.7,1,0.5
67,6,0.7,2,0.0
68,6,0.7,3,0.0
69,6,0.7,4,0.0
70,6,0.8,0,0.0
71,6,0.8,1,0.0
72,6,0.8,2,0.0
73,6,0.8,3,0.0
74,6,0.8,4,0.0
75,6,0.9,0,0.0
76,6,0.9,1,0.0
77,6,0.9,2,0.0
78,6,0.9,3,0.0
79,6,0.9,4,0.0
80,7,0.2,0,0.4444444444444444
81,7,0.2,1,0.4444444444444444
82,7,0.2,2,0.0
83,7,0.2,3,0.6
84,7,0.2,4,0.0
