,0,1,2,3,4,5,6,7
4,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,1,0
19,0,0,1,0,0,0,0,0
21,0,0,0,0,1,0,0,0
26,0,1,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0
38,0,0,0,1,0,0,0,0
39,0,0,0,1,0,0,0,0
41,0,0,0,1,0,0,0,0
44,0,0,0,0,0,0,0,1
45,0,0,0,1,0,0,0,0
47,0,0,0,1,0,0,0,0
48,0,0,0,1,0,0,0,0
49,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,1,0
51,0,0,0,1,0,0,0,0
57,0,0,0,0,0,0,0,1
58,0,0,0,1,0,0,0,0
59,0,0,0,0,0,0,1,0
62,0,0,1,0,0,0,0,0
63,0,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0,0
77,0,0,1,0,0,0,0,0
81,0,1,0,0,0,0,0,0
83,0,0,0,0,0,0,0,1
87,0,0,0,0,0,0,1,0
89,0,0,1,0,0,0,0,0
