,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Eos,CLP
4,1,1,1,1,1,1,1,1
10,1,1,1,1,0,0,1,0
13,1,1,1,1,0,0,1,0
19,1,1,1,1,0,0,1,0
21,1,1,1,1,1,1,1,1
26,1,1,0,0,0,0,0,0
35,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
44,1,1,1,1,0,0,1,0
45,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1
49,1,1,1,1,0,0,1,0
50,1,1,1,1,0,0,1,0
51,1,1,1,1,1,1,1,1
57,1,1,1,1,0,0,1,0
58,1,1,1,1,1,1,1,1
59,1,1,1,1,0,0,1,0
62,1,1,1,1,0,0,1,0
63,1,1,1,1,0,0,1,0
70,1,1,1,1,1,1,1,1
77,1,1,1,1,0,0,1,0
81,1,1,0,0,0,0,0,0
83,1,1,1,1,0,0,1,0
87,1,1,1,1,0,0,1,0
89,1,1,1,1,0,0,1,0
