,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Eos,CLP
4,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
19,1,1,1,0,0,0,0,0
21,1,1,1,1,1,1,1,1
26,1,1,1,0,0,0,0,0
35,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1
58,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1
62,1,1,1,0,0,0,0,0
63,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1
77,1,1,1,0,0,0,0,0
81,1,1,1,0,0,0,0,0
83,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1
89,1,1,1,0,0,0,0,0
