,Undifferentiated,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Lymphoid,Eos,DC,counts
0,0,0,0,0,0,0,0,0,0,0,360
1,0,0,0,0,0,0,0,0,0,1,9
2,0,0,0,0,0,0,0,0,1,0,4
3,0,0,0,0,0,0,0,1,0,0,31
4,0,0,0,0,0,0,1,0,0,0,52
5,0,0,0,0,0,1,0,0,0,0,10
6,0,0,0,0,0,1,1,0,0,0,8
7,0,0,0,0,1,0,0,0,0,0,78
8,0,0,0,0,1,0,0,0,1,0,1
9,0,0,0,0,1,0,1,0,0,0,2
10,0,0,0,1,0,0,0,0,0,0,197
11,0,0,0,1,0,0,0,0,1,0,12
12,0,0,0,1,0,1,0,0,0,0,1
13,0,0,0,1,1,0,0,0,0,0,8
14,0,0,0,1,1,0,0,0,1,0,1
15,0,0,0,1,1,1,0,0,0,0,1
16,0,0,1,0,0,0,0,0,0,0,347
17,0,0,1,0,0,0,1,0,0,0,3
18,0,0,1,0,1,0,0,0,0,0,1
19,0,0,1,1,0,0,0,0,0,0,6
20,0,0,1,1,0,0,1,0,0,0,1
21,0,1,0,0,0,0,0,0,0,0,285
22,0,1,0,0,0,0,0,0,0,1,5
23,0,1,0,0,0,0,0,1,0,0,2
24,0,1,0,0,0,0,1,0,0,0,1
25,0,1,0,1,0,0,0,0,0,0,1
26,0,1,0,1,1,0,0,0,0,0,3
27,0,1,1,0,0,0,0,0,0,0,43
28,0,1,1,0,1,0,0,0,0,0,1
29,0,1,1,1,0,0,0,0,0,0,1
30,1,0,0,0,0,0,0,0,0,0,2313
31,1,0,0,0,0,0,0,0,0,1,20
32,1,0,0,0,0,0,0,0,1,0,6
33,1,0,0,0,0,0,0,1,0,0,50
34,1,0,0,0,0,0,0,1,0,1,1
35,1,0,0,0,0,0,1,0,0,0,109
36,1,0,0,0,0,1,0,0,0,0,23
37,1,0,0,0,0,1,1,0,0,0,18
38,1,0,0,0,1,0,0,0,0,0,37
39,1,0,0,0,1,0,1,0,0,0,5
40,1,0,0,0,1,1,0,0,0,0,5
41,1,0,0,0,1,1,0,0,1,0,2
42,1,0,0,0,1,1,1,0,0,0,1
43,1,0,0,1,0,0,0,0,0,0,230
44,1,0,0,1,0,0,0,0,0,1,1
45,1,0,0,1,0,0,0,0,1,0,15
46,1,0,0,1,0,0,1,0,0,0,6
47,1,0,0,1,0,0,1,0,1,0,1
48,1,0,0,1,0,1,0,0,0,0,3
49,1,0,0,1,0,1,1,0,0,0,5
50,1,0,0,1,1,0,0,0,0,0,22
51,1,0,0,1,1,0,0,0,1,0,4
52,1,0,0,1,1,0,1,0,0,0,2
53,1,0,0,1,1,1,0,0,0,0,2
54,1,0,0,1,1,1,1,0,0,0,2
55,1,0,1,0,0,0,0,0,0,0,568
56,1,0,1,0,0,0,0,0,0,1,2
57,1,0,1,0,0,0,0,0,1,0,1
58,1,0,1,0,0,0,1,0,0,0,4
59,1,0,1,0,0,1,1,0,0,0,1
60,1,0,1,0,1,0,0,0,0,0,6
61,1,0,1,0,1,0,0,0,1,0,1
62,1,0,1,1,0,0,0,0,0,0,37
63,1,0,1,1,0,0,0,0,1,0,10
64,1,0,1,1,0,0,1,0,0,0,2
65,1,0,1,1,0,0,1,0,1,0,2
66,1,0,1,1,1,0,0,0,0,0,2
67,1,0,1,1,1,0,0,0,1,0,1
68,1,1,0,0,0,0,0,0,0,0,569
69,1,1,0,0,0,0,0,0,0,1,11
70,1,1,0,0,0,0,0,1,0,0,9
71,1,1,0,0,0,0,0,1,0,1,2
72,1,1,0,0,0,0,1,0,0,0,1
73,1,1,0,0,0,1,1,0,0,0,1
74,1,1,0,0,1,0,0,0,0,0,3
75,1,1,0,1,0,0,0,0,0,0,8
76,1,1,0,1,0,0,0,0,1,0,1
77,1,1,0,1,0,1,0,0,0,0,2
78,1,1,0,1,1,0,0,0,0,0,2
79,1,1,1,0,0,0,0,0,0,0,240
80,1,1,1,0,0,0,0,0,0,1,2
81,1,1,1,0,0,0,0,0,1,0,2
82,1,1,1,0,0,0,0,1,0,0,1
83,1,1,1,0,0,0,1,0,0,0,2
84,1,1,1,0,0,1,0,0,0,0,1
85,1,1,1,0,1,0,0,0,0,0,4
86,1,1,1,1,0,0,0,0,0,0,7
87,1,1,1,1,1,0,0,0,0,0,1
