,0,1,2,3,4,5,6,7,8
9,1,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,1
33,0,1,0,0,0,0,0,0,0
37,0,0,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0
40,0,0,0,1,0,0,0,0,0
41,0,0,0,1,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0
46,0,0,0,1,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0
48,0,0,1,0,0,0,0,0,0
51,0,0,0,0,0,0,0,1,0
53,1,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,0,0,0
59,0,0,0,1,0,0,0,0,0
63,0,0,0,0,0,0,0,1,0
67,0,0,0,0,0,0,0,0,1
69,0,0,1,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0
71,0,0,1,0,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0
