cellBC	cell_state
c2237	-9
c2871	-15
c2908	-11
c3336	-5
c3648	-11
c3920	-15
c4319	-14
c4545	-9
c4574	-10
c4576	-14
c4834	-2
c4928	-16
c4970	-2
c5148	-15
c5331	-3
c5370	-15
c5816	-15
c6021	-8
c6096	-15
c6202	-6
c6239	-4
c6312	-15
c6336	-12
c6337	-12
c6663	-14
c6675	-16
c6688	-2
c7361	-7
c7373	-2
c7492	-2
c7751	-2
c7960	-16
c8061	-16
c8081	-13
c8250	-16
c8350	-12
c8371	-3
c8486	-15
c8585	-15
c8593	-4
c8822	-16
c9042	-12
c9166	-12
c9258	-14
c9379	-1
c9390	-13
c9399	-3
c9403	-5
c9441	-16
c9449	-16
c9633	-7
c9672	-9
c9702	-10
c9748	-14
c9756	-3
c9769	-16
c9789	-8
c9877	-14
c9931	-14
c9948	-7
c9951	-6
c10215	-13
c10268	-16
c10396	-10
c10430	-10
c10451	-2
c10655	-1
c10952	-5
c11000	-16
c11005	-10
c11093	-12
c11114	-16
c11151	-3
c11272	-4
c11337	-7
c11343	-5
c11347	-10
c11488	-14
c11504	-11
c11613	-6
c11616	-3
c11695	-7
c11788	-3
c11851	-3
c11864	-1
c11921	-2
c11939	-11
c11968	-11
c11987	-12
c12082	-12
c12104	-9
c12163	-15
c12189	-8
c12212	-4
c12238	-6
c12239	-6
c12271	-9
c12354	-13
c12551	-2
c12552	-14
c12569	-8
c12591	-7
c12740	-8
c12794	-13
c12796	-2
c12825	-6
c12840	-6
c12859	-2
c12877	-9
c12926	-9
c12950	-7
c12955	-16
c13033	-12
c13059	-7
c13147	-3
c13158	-8
c13236	-16
c13258	-11
c13364	-7
c13381	-7
c13395	-5
c13407	-12
c13424	-9
c13528	-6
c13549	-10
c13559	-5
c13609	-5
c13657	-3
c13709	-7
c13726	-1
c13744	-6
c13756	-7
c13794	-3
c13851	-8
c13857	-6
c13903	-3
c13907	-2
c13911	-12
c14123	-11
c14213	-6
c14226	-5
c14230	-7
c14231	-7
c14245	-14
c14249	-3
c14252	-15
c14266	-7
c14327	-3
c14350	-8
c14365	-8
c14391	-2
c14470	-14
c14500	-1
c14526	-3
c14548	-8
c14559	-13
c14598	-11
c14637	-6
c14645	-10
c14712	-1
c14718	-7
c14722	-5
c14771	-7
c14780	-10
c14804	-14
c14810	-16
c14831	-15
c14880	-5
c14896	-10
c14962	-13
c14973	-2
c14978	-7
c14985	-1
c15008	-5
c15174	-3
c15193	-11
c15247	-13
c15255	-9
c15272	-6
c15281	-2
c15314	-2
c15322	-10
c15328	-12
c15332	-2
c15351	-3
c15365	-15
c15369	-5
c15382	-10
c15437	-1
c15451	-5
c15478	-7
c15510	-1
c15520	-8
c15538	-12
c15602	-2
c15610	-8
c15621	-7
c15626	-10
c15637	-14
c15643	-16
c15651	-14
c15714	-14
c15770	-1
c15795	-10
c15815	-5
c15845	-15
c15887	-9
c15904	-3
c15908	-15
c15953	-11
c16033	-7
c16041	-13
c16083	-11
c16122	-8
c16130	-5
c16138	-9
c16167	-8
c16181	-3
c16247	-8
c16263	-7
c16323	-13
c16351	-14
c16494	-9
c16528	-6
c16532	-4
c16533	-4
c16548	-2
c16576	-4
c16595	-15
c16636	-8
c16679	-7
c16691	-11
c16706	-8
c16739	-2
c16758	-16
c16800	-7
c16831	-3
c16849	-6
c16862	-13
c16867	-10
c16892	-2
c17017	-4
c17043	-9
c17061	-10
c17069	-12
c17118	-15
c17180	-6
c17206	-10
c17212	-9
c17245	-2
c17248	-1
c17270	-8
c17281	-1
c17330	-14
c17344	-9
c17356	-13
c17397	-5
c17482	-10
c17498	-16
c17537	-4
c17582	-11
c17583	-11
c17608	-15
c17633	-15
c17661	-4
c17676	-4
c17677	-4
c17685	-9
c17704	-14
c17705	-14
c17747	-11
c17751	-12
c17791	-11
c17813	-12
c17839	-15
c17855	-3
c17883	-3
c17888	-11
c17910	-10
c17969	-7
c17977	-14
c17981	-11
c17982	-9
c18004	-7
c18013	-15
c18027	-6
c18076	-8
c18081	-15
c18091	-5
c18096	-3
c18122	-16
c18127	-5
c18130	-12
c18180	-4
c18186	-10
c18192	-8
c18215	-9
c18234	-15
c18244	-14
c18273	-3
c18305	-16
c18338	-1
c18361	-10
c18395	-13
c18449	-16
c18492	-14
c18500	-15
c18503	-15
c18515	-11
c18519	-15
c18532	-12
c18533	-12
c18600	-7
c18612	-4
c18618	-4
c18619	-4
c18665	-16
c18675	-15
c18713	-9
c18750	-15
c18761	-14
c18811	-7
c18848	-5
c18895	-3
c18970	-5
c18973	-7
c18989	-9
c18992	-4
c18999	-3
c19025	-3
c19085	-15
c19181	-16
c19182	-6
c19237	-10
c19244	-4
c19276	-9
c19289	-1
c19304	-7
c19313	-16
c19347	-16
c19369	-6
c19418	-1
c19432	-4
c19463	-7
c19495	-14
c19498	-5
c19570	-10
c19575	-7
c19598	-8
c19649	-15
c19657	-9
c19662	-14
c19663	-14
c19678	-6
c19679	-6
c19684	-16
c19693	-13
c19713	-8
c19719	-12
c19745	-13
c19784	-3
c19825	-10
c19846	-5
c19860	-4
c19863	-4
c19909	-3
c19911	-13
c19912	-5
c19918	-9
c19931	-13
c19939	-8
c19964	-15
c19971	-2
c19975	-10
c19990	-8
c20003	-1
c20060	-12
c20089	-6
c20091	-8
c20234	-5
c20237	-15
c20243	-12
c20244	-14
c20258	-13
c20262	-1
c20295	-13
c20300	-14
c20346	-13
c20361	-7
c20391	-4
c20459	-7
c20481	-16
c20578	-16
c20582	-3
c20611	-2
c20653	-15
c20662	-3
c20664	-12
c20707	-13
c20708	-11
c20722	-2
c20723	-2
c20752	-16
c20778	-11
c20784	-1
c20808	-16
c20812	-10
c20820	-4
c20851	-13
c20867	-3
c20888	-12
c20896	-2
c20941	-7
c20995	-14
c20997	-3
c21022	-3
c21050	-1
c21079	-7
c21122	-4
c21131	-11
c21136	-2
c21156	-1
c21178	-15
c21197	-14
c21205	-6
c21212	-2
c21224	-2
c21233	-9
c21237	-10
c21263	-13
c21279	-2
c21284	-9
c21299	-4
c21301	-10
c21304	-4
c21306	-12
c21317	-11
c21329	-13
c21367	-7
c21378	-13
c21390	-2
c21405	-9
c21408	-13
c21418	-7
c21429	-14
c21435	-7
c21447	-13
c21450	-11
c21458	-11
c21477	-10
c21480	-8
c21490	-14
c21512	-9
c21530	-11
c21554	-15
c21559	-14
c21563	-9
c21579	-13
c21592	-2
c21608	-3
c21612	-11
c21616	-6
c21621	-11
c21627	-1
c21656	-5
c21665	-1
c21676	-3
c21706	-4
c21723	-12
c21747	-3
c21755	-12
c21776	-7
c21834	-4
c21835	-4
c21868	-7
c21872	-2
c21876	-7
c21879	-11
c21915	-3
c21920	-6
c21958	-14
c21982	-15
c21997	-3
c22022	-16
c22057	-5
c22125	-6
c22135	-7
c22154	-15
c22185	-9
c22187	-9
c22220	-13
c22227	-13
c22230	-12
c22259	-9
c22262	-11
c22330	-2
c22333	-5
c22363	-9
c22376	-14
c22377	-14
c22395	-11
c22421	-11
c22437	-7
c22441	-3
c22472	-4
c22473	-4
c22483	-5
c22486	-9
c22513	-14
c22537	-8
c22566	-13
c22577	-6
c22586	-5
c22620	-5
c22649	-3
c22666	-10
c22696	-9
c22702	-12
c22807	-16
c22814	-4
c22827	-10
c22867	-2
c22898	-1
c22908	-16
c22910	-1
c22934	-9
c22945	-1
c22997	-4
c23023	-10
c23043	-13
c23062	-1
c23095	-7
c23100	-3
c23130	-1
c23131	-1
c23141	-16
c23160	-6
c23161	-6
c23191	-12
c23202	-12
c23218	-6
c23221	-6
c23242	-14
c23243	-14
c23289	-8
c23294	-7
c23299	-1
c23300	-15
c23306	-16
c23376	-11
c23384	-10
c23426	-4
c23465	-3
c23494	-1
c23495	-1
c23532	-9
c23543	-13
c23556	-10
c23564	-7
c23577	-10
c23624	-15
c23637	-11
c23655	-10
c23666	-2
c23671	-7
c23684	-10
c23742	-9
c23782	-2
c23783	-2
c23816	-7
c23832	-12
c23856	-16
c23875	-8
c23914	-6
c23922	-3
c23952	-7
c23975	-5
c24009	-3
c24033	-9
c24039	-11
c24042	-7
c24067	-1
c24072	-6
c24076	-4
c24077	-4
c24086	-1
c24087	-1
c24088	-8
c24131	-7
c24226	-5
c24239	-14
c24291	-14
c24329	-12
c24336	-9
c24365	-13
c24401	-13
c24408	-11
c24425	-6
c24441	-1
c24445	-10
c24450	-11
c24458	-7
c24468	-8
c24484	-14
c24495	-6
c24518	-13
c24524	-15
c24526	-2
c24541	-13
c24568	-3
c24577	-12
c24603	-5
c24635	-4
c24648	-11
c24671	-15
c24679	-16
c24683	-13
c24689	-15
c24693	-9
c24695	-14
c24705	-9
c24766	-6
c24772	-15
c24779	-8
c24781	-3
c24788	-14
c24798	-11
c24808	-16
c24854	-11
c24883	-16
c24933	-8
c24951	-10
c24967	-2
c24970	-9
c24977	-14
c25019	-15
c25025	-6
c25030	-5
c25036	-10
c25046	-16
c25095	-5
c25100	-8
c25105	-3
c25137	-13
c25145	-1
c25167	-5
c25173	-7
c25196	-10
c25197	-10
c25203	-15
c25206	-9
c25228	-9
c25241	-13
c25303	-8
c25309	-9
c25324	-3
c25363	-14
c25365	-3
c25384	-11
c25411	-12
c25423	-7
c25446	-6
c25454	-4
c25455	-4
c25461	-2
c25472	-14
c25473	-14
c25513	-16
c25515	-3
c25567	-10
c25586	-3
c25597	-10
c25641	-16
c25658	-15
c25662	-16
c25676	-5
c25718	-8
c25740	-2
c25771	-3
c25773	-12
c25775	-2
c25780	-4
c25781	-4
c25811	-4
c25846	-3
c25850	-2
c25854	-9
c25860	-7
c25864	-1
c25871	-10
c25888	-2
c25889	-2
c25894	-6
c25911	-5
c25933	-5
c25948	-13
c25959	-16
c25968	-7
c25974	-9
c25987	-3
c26020	-11
c26029	-13
c26044	-3
c26052	-11
c26057	-8
c26062	-1
c26075	-7
c26076	-2
c26083	-12
c26090	-2
c26091	-2
c26111	-13
c26117	-12
c26137	-13
c26155	-16
c26168	-15
c26169	-15
c26170	-4
c26171	-4
c26222	-10
c26234	-15
c26250	-1
c26255	-2
c26265	-3
c26278	-5
c26287	-5
c26291	-6
c26304	-3
c26305	-3
c26314	-8
c26344	-8
c26353	-15
c26358	-4
c26367	-7
c26383	-8
c26390	-9
c26473	-13
c26500	-1
c26501	-1
c26506	-1
c26507	-1
c26524	-12
c26530	-1
c26531	-1
c26557	-9
c26572	-10
c26590	-16
c26594	-6
c26620	-6
c26624	-8
c26628	-11
c26661	-13
c26681	-8
c26686	-8
c26702	-9
c26729	-16
c26730	-4
c26731	-4
c26804	-4
c26805	-4
c26818	-5
c26826	-10
c26835	-8
c26840	-7
c26882	-7
c26900	-7
c26903	-7
c26904	-4
c26905	-4
c26923	-15
c26928	-9
c26980	-11
c27012	-11
c27027	-6
c27028	-10
c27033	-14
c27046	-11
c27048	-3
c27050	-9
c27086	-2
c27098	-6
c27104	-14
c27111	-10
c27140	-4
c27141	-4
c27149	-5
c27165	-1
c27178	-15
c27179	-15
c27180	-16
c27191	-11
c27196	-16
c27208	-10
c27218	-13
c27232	-15
c27281	-14
c27287	-13
c27293	-11
c27296	-10
c27313	-10
c27329	-13
c27331	-6
c27363	-7
c27368	-10
c27378	-8
c27380	-7
c27398	-2
c27402	-16
c27403	-16
c27415	-12
c27421	-3
c27424	-4
c27425	-4
c27442	-14
c27451	-13
c27469	-10
c27470	-1
c27471	-1
c27472	-5
c27488	-13
c27501	-13
c27506	-4
c27512	-10
c27516	-8
c27518	-8
c27532	-6
c27538	-10
c27571	-13
c27580	-12
c27583	-14
c27588	-13
c27620	-7
c27625	-2
c27660	-10
c27662	-1
c27663	-1
c27681	-8
c27704	-5
c27754	-14
c27755	-14
c27776	-8
c27780	-15
c27802	-7
c27808	-3
c27836	-1
c27858	-6
c27861	-3
c27870	-12
c27883	-3
c27885	-16
c27919	-8
c27957	-15
c27982	-11
c28020	-8
c28029	-12
c28032	-9
c28040	-14
c28045	-14
c28060	-5
c28065	-11
c28072	-12
c28075	-15
c28077	-9
c28079	-9
c28088	-5
c28091	-16
c28092	-12
c28116	-5
c28117	-5
c28178	-6
c28185	-9
c28188	-11
c28201	-3
c28222	-10
c28224	-4
c28230	-12
c28252	-14
c28255	-1
c28304	-10
c28321	-4
c28329	-9
c28350	-11
c28351	-11
c28368	-3
c28399	-11
c28402	-5
c28431	-8
c28462	-2
c28475	-12
c28498	-16
c28511	-8
c28526	-11
c28528	-10
c28532	-10
c28590	-14
c28616	-15
c28660	-16
c28666	-12
c28679	-3
c28742	-2
c28743	-2
c28751	-6
c28754	-2
c28755	-2
c28762	-1
c28773	-2
c28774	-14
c28789	-15
c28805	-12
c28807	-13
c28809	-15
c28832	-1
c28843	-14
c28844	-4
c28845	-4
c28851	-16
c28853	-8
c28864	-5
c28873	-12
c28879	-12
c28885	-9
c28891	-15
c28910	-6
c28911	-6
c28914	-13
c28969	-3
c28970	-15
c29012	-5
c29025	-11
c29031	-10
c29068	-9
c29076	-11
c29096	-1
c29107	-9
c29109	-15
c29114	-16
c29122	-12
c29123	-12
c29129	-16
c29131	-3
c29136	-14
c29137	-14
c29145	-16
c29156	-1
c29157	-1
c29174	-11
c29183	-5
c29197	-13
c29200	-2
c29227	-8
c29244	-12
c29280	-4
c29290	-12
c29320	-14
c29379	-11
c29416	-7
c29417	-7
c29462	-15
c29474	-5
c29496	-14
c29499	-3
c29524	-10
c29538	-10
c29556	-4
c29557	-4
c29582	-5
c29583	-5
c29597	-9
c29607	-9
c29608	-1
c29629	-3
c29643	-11
c29644	-2
c29648	-7
c29650	-1
c29651	-1
c29657	-7
c29667	-13
c29688	-8
c29689	-8
c29697	-8
c29718	-13
c29733	-2
c29744	-2
c29745	-2
c29759	-6
c29780	-11
c29799	-9
c29803	-9
c29812	-15
c29816	-8
c29818	-8
c29840	-5
c29844	-13
c29850	-7
c29862	-4
c29872	-4
c29888	-14
c29892	-9
c29894	-15
c29907	-15
c29909	-2
c29912	-5
c29915	-10
c29948	-8
c29949	-8
c29960	-3
c29965	-11
c29966	-9
c29978	-4
c29986	-10
c30018	-15
c30020	-9
c30102	-2
c30103	-2
c30137	-14
c30168	-6
c30174	-8
c30175	-8
c30187	-6
c30196	-7
c30204	-14
c30205	-14
c30206	-12
c30207	-12
c30227	-3
c30229	-6
c30250	-4
c30251	-4
c30252	-5
c30283	-14
c30336	-11
c30339	-6
c30346	-3
c30352	-6
c30355	-15
c30374	-16
c30379	-7
c30382	-3
c30383	-3
c30387	-9
