,0
0,1
1,332
2,663
3,994
4,1325
5,1656
6,1987
7,2318
8,2649
9,2980
10,2
11,333
12,664
13,995
14,1326
15,1657
16,1988
17,2319
18,2650
19,2981
20,3
21,334
22,665
23,996
24,1327
25,1658
26,1989
27,2320
28,2651
29,2982
30,4
31,335
32,666
33,997
34,1328
35,1659
36,1990
37,2321
38,2652
39,2983
40,5
41,336
42,667
43,998
44,1329
45,1660
46,1991
47,2322
48,2653
49,2984
50,6
51,337
52,668
53,999
54,1330
55,1661
56,1992
57,2323
58,2654
59,2985
60,7
61,338
62,669
63,1000
64,1331
65,1662
66,1993
67,2324
68,2655
69,2986
70,8
71,339
72,670
73,1001
74,1332
75,1663
76,1994
77,2325
78,2656
79,2987
80,9
81,340
82,671
83,1002
84,1333
85,1664
86,1995
87,2326
88,2657
89,2988
90,10
91,341
92,672
93,1003
94,1334
95,1665
96,1996
97,2327
98,2658
99,2989
100,11
101,342
102,673
103,1004
104,1335
105,1666
106,1997
107,2328
108,2659
109,2990
110,12
111,343
112,674
113,1005
114,1336
115,1667
116,1998
117,2329
118,2660
119,2991
120,13
121,344
122,675
123,1006
124,1337
125,1668
126,1999
127,2330
128,2661
129,2992
130,14
131,345
132,676
133,1007
134,1338
135,1669
136,2000
137,2331
138,2662
139,2993
140,15
141,346
142,677
143,1008
144,1339
145,1670
146,2001
147,2332
148,2663
149,2994
150,16
151,347
152,678
153,1009
154,1340
155,1671
156,2002
157,2333
158,2664
159,2995
160,17
161,348
162,679
163,1010
164,1341
165,1672
166,2003
167,2334
168,2665
169,2996
170,18
171,349
172,680
173,1011
174,1342
175,1673
176,2004
177,2335
178,2666
179,2997
180,19
181,350
182,681
183,1012
184,1343
185,1674
186,2005
187,2336
188,2667
189,2998
190,20
191,351
192,682
193,1013
194,1344
195,1675
196,2006
197,2337
198,2668
199,2999
200,21
201,352
202,683
203,1014
204,1345
205,1676
206,2007
207,2338
208,2669
209,3000
210,22
211,353
212,684
213,1015
214,1346
215,1677
216,2008
217,2339
218,2670
219,3001
220,23
221,354
222,685
223,1016
224,1347
225,1678
226,2009
227,2340
228,2671
229,3002
230,24
231,355
232,686
233,1017
234,1348
235,1679
236,2010
237,2341
238,2672
239,3003
240,25
241,356
242,687
243,1018
244,1349
245,1680
246,2011
247,2342
248,2673
249,3004
250,26
251,357
252,688
253,1019
254,1350
255,1681
256,2012
257,2343
258,2674
259,3005
260,27
261,358
262,689
263,1020
264,1351
265,1682
266,2013
267,2344
268,2675
269,3006
270,28
271,359
272,690
273,1021
274,1352
275,1683
276,2014
277,2345
278,2676
279,3007
280,29
281,360
282,691
283,1022
284,1353
285,1684
286,2015
287,2346
288,2677
289,3008
290,30
291,361
292,692
293,1023
294,1354
295,1685
296,2016
297,2347
298,2678
299,3009
300,31
301,362
302,693
303,1024
304,1355
305,1686
306,2017
307,2348
308,2679
309,3010
310,32
311,363
312,694
313,1025
314,1356
315,1687
316,2018
317,2349
318,2680
319,3011
320,33
321,364
322,695
323,1026
324,1357
325,1688
326,2019
327,2350
328,2681
329,3012
330,34
331,365
332,696
333,1027
334,1358
335,1689
336,2020
337,2351
338,2682
339,3013
340,35
341,366
342,697
343,1028
344,1359
345,1690
346,2021
347,2352
348,2683
349,3014
350,36
351,367
352,698
353,1029
354,1360
355,1691
356,2022
357,2353
358,2684
359,3015
360,37
361,368
362,699
363,1030
364,1361
365,1692
366,2023
367,2354
368,2685
369,3016
370,38
371,369
372,700
373,1031
374,1362
375,1693
376,2024
377,2355
378,2686
379,3017
380,39
381,370
382,701
383,1032
384,1363
385,1694
386,2025
387,2356
388,2687
389,3018
390,40
391,371
392,702
393,1033
394,1364
395,1695
396,2026
397,2357
398,2688
399,3019
400,41
401,372
402,703
403,1034
404,1365
405,1696
406,2027
407,2358
408,2689
409,3020
410,42
411,373
412,704
413,1035
414,1366
415,1697
416,2028
417,2359
418,2690
419,3021
420,43
421,374
422,705
423,1036
424,1367
425,1698
426,2029
427,2360
428,2691
429,3022
430,44
431,375
432,706
433,1037
434,1368
435,1699
436,2030
437,2361
438,2692
439,3023
440,45
441,376
442,707
443,1038
444,1369
445,1700
446,2031
447,2362
448,2693
449,3024
450,46
451,377
452,708
453,1039
454,1370
455,1701
456,2032
457,2363
458,2694
459,3025
460,47
461,378
462,709
463,1040
464,1371
465,1702
466,2033
467,2364
468,2695
469,3026
470,48
471,379
472,710
473,1041
474,1372
475,1703
476,2034
477,2365
478,2696
479,3027
480,49
481,380
482,711
483,1042
484,1373
485,1704
486,2035
487,2366
488,2697
489,3028
490,50
491,381
492,712
493,1043
494,1374
495,1705
496,2036
497,2367
498,2698
499,3029
500,51
501,382
502,713
503,1044
504,1375
505,1706
506,2037
507,2368
508,2699
509,3030
510,52
511,383
512,714
513,1045
514,1376
515,1707
516,2038
517,2369
518,2700
519,3031
520,53
521,384
522,715
523,1046
524,1377
525,1708
526,2039
527,2370
528,2701
529,3032
