tree_index	node_name	label
0	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
1	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
10	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
11	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
12	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
13	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
2	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
3	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
4	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
5	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
6	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
7	node0	{'Somite', 'NMPs', 'NeuralTube'}
8	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
9	node0	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
0	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
1	node1	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
10	node1	{'Somite', 'NMPs', 'NeuralTube'}
11	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
12	node1	{'Somite', 'NMPs', 'NeuralTube'}
13	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
2	node1	{'Somite', 'NMPs', 'NeuralTube'}
3	node1	{'Somite', 'NMPs', 'NeuralTube'}
4	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
5	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
6	node1	{'Somite', 'NMPs', 'NeuralTube'}
7	node1	{'Somite', 'NMPs', 'NeuralTube'}
8	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
9	node1	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
0	node10	{'Somite', 'NMPs', 'NeuralTube'}
1	node10	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
10	node10	{'Somite', 'NMPs', 'NeuralTube'}
11	node10	{'Somite', 'NMPs', 'NeuralTube'}
12	node10	{'Somite', 'NMPs', 'NeuralTube'}
13	node10	{'Somite', 'NMPs', 'NeuralTube'}
2	node10	{'Somite', 'NMPs', 'NeuralTube'}
6	node10	{'Somite', 'NMPs', 'NeuralTube'}
7	node10	{'Somite', 'NMPs', 'NeuralTube'}
8	node10	{'Somite', 'NMPs', 'NeuralTube'}
9	node10	{'Somite', 'NMPs', 'NeuralTube'}
0	node100	{'Somite', 'NMPs', 'NeuralTube'}
1	node100	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
12	node100	{'Somite', 'NMPs', 'NeuralTube'}
13	node100	{'Somite', 'NMPs', 'NeuralTube'}
5	node100	{'Somite', 'NMPs', 'NeuralTube'}
9	node100	{'Somite', 'NMPs', 'NeuralTube'}
1	node1002	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
1	node1006	{'Somite', 'NMPs', 'NeuralTube'}
1	node1008	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
0	node101	{'Somite', 'NMPs', 'NeuralTube'}
1	node101	{'Somite', 'NMPs', 'NeuralTube'}
10	node101	{'Somite', 'NMPs', 'NeuralTube'}
11	node101	{'Somite', 'NMPs', 'NeuralTube'}
12	node101	{'Somite', 'NMPs', 'NeuralTube'}
3	node101	{'Somite', 'NMPs', 'NeuralTube'}
5	node101	{'Somite', 'NMPs', 'NeuralTube'}
1	node1016	{'Somite', 'NMPs', 'NeuralTube'}
0	node102	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
1	node102	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
11	node102	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
4	node102	{'Somite', 'NMPs', 'NeuralTube'}
5	node102	{'Somite', 'NMPs', 'NeuralTube'}
9	node102	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
0	node103	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
10	node103	{'Somite', 'NMPs', 'NeuralTube'}
12	node103	{'Somite', 'NMPs', 'NeuralTube'}
13	node103	{'Somite', 'NMPs', 'NeuralTube'}
3	node103	{'Somite', 'NMPs', 'NeuralTube'}
4	node103	{'Somite', 'NMPs', 'NeuralTube'}
9	node103	{'Somite', 'NMPs', 'NeuralTube'}
0	node104	{'Somite', 'NMPs', 'NeuralTube'}
1	node104	{'Somite', 'NMPs', 'NeuralTube'}
10	node104	{'Somite', 'NMPs', 'NeuralTube'}
12	node104	{'Somite', 'NMPs', 'NeuralTube'}
2	node104	{'Somite', 'NMPs', 'NeuralTube'}
8	node104	{'Somite', 'NMPs', 'NeuralTube'}
10	node105	{'Somite', 'NMPs', 'NeuralTube'}
12	node105	{'Somite', 'NMPs', 'NeuralTube'}
2	node105	{'Somite', 'NMPs', 'NeuralTube'}
8	node105	{'Somite', 'NMPs', 'NeuralTube'}
9	node105	{'Somite', 'NMPs', 'NeuralTube'}
0	node106	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
1	node106	{'Somite', 'NMPs', 'NeuralTube'}
10	node106	{'Somite', 'NMPs', 'NeuralTube'}
11	node106	{'Somite', 'NMPs', 'NeuralTube'}
2	node106	{'Somite', 'NMPs', 'NeuralTube'}
5	node106	{'Somite', 'NMPs', 'NeuralTube'}
8	node106	{'Somite', 'NMPs', 'NeuralTube'}
0	node107	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
1	node107	{'Somite', 'NMPs', 'NeuralTube'}
12	node107	{'Somite', 'NMPs', 'NeuralTube'}
8	node107	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
9	node107	{'Somite', 'NMPs', 'NeuralTube'}
0	node108	{'Endoderm', 'Endothelial', 'NMPs', 'NeuralTube', 'PCGLC', 'Somite'}
1	node108	{'Somite', 'NMPs', 'NeuralTube'}
10	node108	{'Somite', 'NMPs', 'NeuralTube'}
12	node108	{'Somite', 'NMPs', 'NeuralTube'}
8	node108	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
9	node108	{'Somite', 'NMPs', 'NeuralTube'}
0	node109	{'Somite', 'NMPs', 'NeuralTube'}
1	node109	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
12	node109	{'Somite', 'NMPs', 'NeuralTube'}
13	node109	{'Somite', 'NMPs', 'NeuralTube'}
4	node109	{'Somite', 'NMPs', 'NeuralTube'}
5	node109	{'Somite', 'NMPs', 'NeuralTube'}
8	node109	{'Endoderm', 'Somite', 'Endothelial', 'NeuralTube'}
9	node109	{'Somite', 'NMPs', 'NeuralTube'}
