,0,1,2,3,4,5,6,7,8,9
10,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1,0,0
40,0,0,0,0,0,1,0,0,0,0
42,1,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,1,0,0,0,0
45,0,0,0,0,0,1,0,0,0,0
46,0,0,0,0,0,1,0,0,0,0
49,0,0,0,0,0,1,0,0,0,0
51,0,0,0,1,0,0,0,0,0,0
52,0,0,0,0,0,1,0,0,0,0
55,0,0,0,0,0,0,0,0,1,0
57,0,0,0,0,0,0,1,0,0,0
62,0,0,0,0,0,1,0,0,0,0
63,0,0,0,0,0,0,0,0,0,1
65,0,0,0,0,1,0,0,0,0,0
69,0,0,0,0,0,0,0,0,1,0
73,0,1,0,0,0,0,0,0,0,0
74,0,0,0,0,0,1,0,0,0,0
76,0,0,0,0,0,0,1,0,0,0
78,0,0,0,0,0,1,0,0,0,0
80,0,0,0,0,0,0,0,0,1,0
