,Monocyte,Neutrophil,Baso,Mast,Lymphoid,Eos,DC,MEP
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1
