tree_index	node_name	label
0	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
1	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
10	node0	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
11	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
12	node0	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
13	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
2	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
3	node0	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
4	node0	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
5	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
6	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
7	node0	{'Somite', 'NMPs', 'NeuralTube'}
8	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
9	node0	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
0	node1	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
1	node1	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
10	node1	{'Somite', 'NMPs', 'NeuralTube'}
11	node1	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
12	node1	{'Somite', 'NMPs', 'NeuralTube'}
13	node1	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
2	node1	{'Somite', 'NMPs', 'NeuralTube'}
3	node1	{'Somite', 'NMPs', 'NeuralTube'}
4	node1	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
5	node1	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
6	node1	{'Somite', 'NMPs', 'NeuralTube'}
7	node1	{'Somite', 'NMPs', 'NeuralTube'}
8	node1	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
9	node1	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
0	node10	{'Somite', 'NMPs', 'NeuralTube'}
1	node10	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
10	node10	{'Somite', 'NeuralTube'}
11	node10	{'Somite', 'NMPs', 'NeuralTube'}
12	node10	{'Somite', 'NeuralTube'}
13	node10	{'Somite', 'NMPs', 'NeuralTube'}
2	node10	{'Somite', 'NMPs', 'NeuralTube'}
6	node10	{'Somite', 'NMPs', 'NeuralTube'}
7	node10	{'Somite', 'NMPs', 'NeuralTube'}
8	node10	{'Somite', 'NeuralTube'}
9	node10	{'Somite', 'NMPs', 'NeuralTube'}
0	node100	{'Somite', 'NMPs', 'NeuralTube'}
1	node100	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
12	node100	{'Somite', 'NMPs', 'NeuralTube'}
13	node100	{'Somite', 'NMPs', 'NeuralTube'}
5	node100	{'Somite', 'NMPs', 'NeuralTube'}
9	node100	{'Somite', 'NeuralTube'}
1	node1002	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
1	node1006	{'Somite', 'NeuralTube'}
1	node1008	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
0	node101	{'Somite', 'NMPs', 'NeuralTube'}
1	node101	{'Somite', 'NeuralTube'}
10	node101	{'Somite', 'NMPs', 'NeuralTube'}
11	node101	{'Somite', 'NeuralTube'}
12	node101	{'Somite', 'NMPs', 'NeuralTube'}
3	node101	{'Somite', 'NMPs', 'NeuralTube'}
5	node101	{'Somite', 'NMPs', 'NeuralTube'}
1	node1016	{'Somite', 'NeuralTube'}
0	node102	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'PCGLC', 'Endoderm'}
1	node102	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
11	node102	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
4	node102	{'Somite', 'NeuralTube'}
5	node102	{'Somite', 'NMPs', 'NeuralTube'}
9	node102	{'Somite', 'NMPs', 'NeuralTube', 'Endothelial'}
0	node103	{'NeuralTube', 'Somite', 'Endothelial', 'NMPs', 'Endoderm'}
10	node103	{'Somite', 'NeuralTube'}
