cellBC	cell_state
c335	-1
c1011	-1
c1079	-12
c1125	-1
c1147	-12
c1307	-4
c1311	-1
c1343	-6
c1420	-5
c1431	-4
c1461	-5
c1532	-6
c1587	-5
c1662	-4
c1707	-12
c1736	-16
c1767	-6
c1856	-6
c1872	-4
c1902	-4
c1993	-4
c2068	-12
c2081	-1
c2103	-4
c2112	-5
c2151	-5
c2186	-5
c2219	-12
c2261	-6
c2318	-1
c2344	-4
c2361	-1
c2398	-5
c2403	-5
c2436	-6
c2448	-5
c2504	-4
c2548	-16
c2549	-16
c2558	-6
c2591	-4
c2611	-1
c2617	-12
c2629	-4
c2642	-4
c2663	-1
c2674	-5
c2705	-5
c2755	-1
c2764	-4
c2777	-1
c2812	-4
c2836	-4
c2839	-4
c2845	-4
c2871	-1
c2873	-12
c2879	-1
c2926	-5
c2931	-12
c2948	-4
c2967	-4
c2981	-12
c2985	-5
c3013	-5
c3084	-6
c3149	-5
c3193	-12
c3198	-5
c3262	-16
c3277	-5
c3278	-5
c3279	-5
c3285	-4
c3334	-5
c3403	-16
c3408	-1
c3412	-4
c3413	-4
c3428	-6
c3451	-1
c3456	-6
c3475	-1
c3485	-5
c3492	-16
c3498	-5
c3500	-16
c3523	-4
c3534	-4
c3539	-16
c3591	-5
c3602	-16
c3603	-16
c3616	-5
c3618	-16
c3628	-1
c3649	-6
c3654	-6
c3661	-5
c3665	-5
c3673	-16
c3690	-6
c3699	-5
c3701	-5
c3713	-16
c3720	-1
c3740	-16
c3755	-1
c3760	-12
c3761	-12
c3762	-4
c3768	-5
c3770	-6
c3808	-5
c3812	-16
c3822	-6
c3855	-1
c3866	-5
c3868	-6
c3906	-4
c3910	-12
c3945	-16
c3952	-5
c3972	-4
c3989	-1
c4002	-16
c4060	-16
c4080	-16
c4081	-16
c4105	-16
c4126	-5
c4131	-4
c4146	-4
c4149	-4
c4151	-16
c4163	-1
c4171	-5
c4196	-6
c4214	-12
c4215	-12
c4230	-5
c4249	-5
c4260	-16
c4264	-4
c4272	-1
c4298	-6
c4306	-12
c4346	-6
c4360	-4
c4367	-12
c4387	-1
c4412	-5
c4438	-5
c4447	-5
c4454	-5
c4463	-16
c4487	-16
c4492	-4
c4498	-1
c4501	-12
c4503	-16
c4523	-16
c4527	-4
c4548	-4
c4568	-12
c4569	-12
c4572	-16
c4577	-6
c4584	-5
c4602	-1
c4613	-1
c4620	-4
c4621	-4
c4643	-1
c4647	-16
c4652	-6
c4657	-6
c4675	-4
c4678	-12
c4679	-12
c4704	-5
c4710	-4
c4714	-5
c4723	-12
c4738	-12
c4739	-12
c4752	-4
c4753	-4
c4760	-16
c4766	-16
c4789	-1
c4803	-1
c4810	-12
c4811	-12
c4824	-5
c4832	-12
c4833	-12
c4885	-5
c4902	-4
c4927	-6
c4942	-5
c4967	-16
c4984	-5
c5033	-12
c5034	-1
c5040	-6
c5080	-6
c5114	-5
c5118	-5
c5130	-4
c5131	-4
c5133	-4
c5135	-6
c5150	-1
c5162	-5
c5176	-16
c5196	-4
c5197	-4
c5199	-5
c5243	-5
c5247	-5
c5254	-4
c5267	-1
c5271	-4
c5305	-16
c5327	-6
c5349	-5
c5369	-4
c5373	-5
c5376	-4
c5377	-4
c5396	-1
c5401	-5
c5403	-1
c5404	-12
c5419	-4
c5441	-1
c5444	-12
c5445	-12
c5455	-4
c5474	-6
c5478	-16
c5487	-6
c5490	-5
c5500	-4
c5501	-4
c5505	-1
c5510	-5
c5517	-5
c5525	-6
c5532	-5
c5540	-4
c5549	-4
c5569	-16
c5597	-1
c5605	-4
c5619	-1
c5622	-12
c5623	-12
c5629	-5
c5641	-16
c5656	-4
c5670	-4
c5678	-12
c5679	-12
c5695	-4
c5699	-5
c5704	-4
c5706	-12
c5707	-12
c5708	-6
c5716	-1
c5738	-5
c5745	-16
c5758	-4
c5786	-5
c5792	-4
c5793	-4
c5797	-4
c5808	-1
c5812	-4
c5814	-5
c5826	-4
c5841	-6
c5846	-6
c5853	-5
c5856	-12
c5857	-12
c5899	-6
c5901	-16
c5908	-5
c5919	-5
c5922	-4
c5925	-1
c5941	-6
c5945	-1
c5959	-5
c5979	-16
c5981	-4
c5984	-6
c6008	-6
c6020	-1
c6023	-5
c6024	-4
c6037	-5
c6048	-1
c6055	-5
c6065	-4
c6076	-5
c6079	-6
c6080	-4
c6099	-4
c6128	-6
c6137	-4
c6139	-5
c6145	-4
c6148	-4
c6149	-4
c6164	-6
c6185	-4
c6187	-16
c6189	-5
c6192	-16
c6194	-1
c6206	-6
c6217	-1
c6230	-4
c6247	-6
c6256	-16
c6258	-12
c6267	-4
c6269	-12
c6272	-16
c6295	-5
c6299	-6
c6300	-16
